,,PERCEPTRON EJEMPLO PRACTICO,,,,,,,,,,,,A=,0.5,,,
,,,,,,,,,,,,,,E=,-1,,,
,,FREDDY LEONARDO ABAD LEON,,,,,,,,,,,,,,,,
,,,,,Datos Iniciales,,,,,,,,,,,,,
x1,x2,x3,x4,Label,w1,w2,w3,w4,z,Eg,Er,,,,,,,
5.1,3.5,1.4,0.2,Iris-setosa,1,2,3,4,17.1,1,2,,,,,,,Formulas usadas
4.9,3,1.4,0.2,Iris-setosa,6.1,5.5,4.4,4.2,53.39,1,-1,,,,,,,
4.7,3.2,1.3,0.2,Iris-setosa,3.65,4,3.7,4.1,35.585,1,2,,,,,,,
4.6,3.1,1.5,0.2,Iris-setosa,8.35,7.2,5,4.3,69.09,1,-1,,,,,,,
5,3.6,1.4,0.2,Iris-setosa,6.05,5.65,4.25,4.2,57.38,1,2,,,,,,,
5.4,3.9,1.7,0.4,Iris-setosa,11.05,9.25,5.65,4.4,107.11,1,-1,,,,,,,
4.6,3.4,1.4,0.3,Iris-setosa,8.35,7.3,4.8,4.2,71.21,1,2,,,,,,,
5,3.4,1.5,0.2,Iris-setosa,12.95,10.7,6.2,4.5,111.33,1,-1,,,,,,,
4.4,2.9,1.4,0.2,Iris-setosa,10.45,9,5.45,4.4,80.59,1,2,,,,,,,
4.9,3.1,1.5,0.1,Iris-setosa,14.85,11.9,6.85,4.6,120.39,1,-1,,,,,,,
5.4,3.7,1.5,0.2,Iris-setosa,12.4,10.35,6.1,4.55,115.315,1,2,,,,,,,
4.8,3.4,1.6,0.2,Iris-setosa,17.8,14.05,7.6,4.75,146.32,1,-1,,,,,,,
4.8,3,1.4,0.1,Iris-setosa,15.4,12.35,6.8,4.65,120.955,1,2,,,,,,,
4.3,3,1.1,0.1,Iris-setosa,20.2,15.35,8.2,4.75,142.405,1,-1,,,,,,,
5.8,4,1.2,0.2,Iris-setosa,18.05,13.85,7.65,4.7,170.21,1,2,,,,,,,
5.7,4.4,1.5,0.4,Iris-setosa,23.85,17.85,8.85,4.9,229.72,1,-1,,,,,,,
5.4,3.9,1.3,0.4,Iris-setosa,21,15.65,8.1,4.7,186.845,1,2,,,,,,,
5.1,3.5,1.4,0.3,Iris-setosa,26.4,19.55,9.4,5.1,217.755,1,-1,,,,,,,
5.7,3.8,1.7,0.3,Iris-setosa,23.85,17.8,8.7,4.95,219.86,1,2,,,,,,,
5.1,3.8,1.5,0.3,Iris-setosa,29.55,21.6,10.4,5.25,249.96,1,-1,,,,,,,
5.4,3.4,1.7,0.2,Iris-setosa,27,19.7,9.65,5.1,230.205,1,2,,,,,,,
5.1,3.7,1.5,0.4,Iris-setosa,32.4,23.1,11.35,5.3,269.855,1,-1,,,,,,,
4.6,3.6,1,0.2,Iris-setosa,29.85,21.25,10.6,5.1,225.43,1,2,,,,,,,
5.1,3.3,1.7,0.5,Iris-setosa,34.45,24.85,11.6,5.3,280.07,1,-1,,,,,,,
4.8,3.4,1.9,0.2,Iris-setosa,31.9,23.2,10.75,5.05,253.435,1,2,,,,,,,
5,3,1.6,0.2,Iris-setosa,36.7,26.6,12.65,5.25,284.59,1,-1,,,,,,,
5,3.4,1.6,0.4,Iris-setosa,34.2,25.1,11.85,5.15,277.36,1,2,,,,,,,
5.2,3.5,1.5,0.2,Iris-setosa,39.2,28.5,13.45,5.55,324.875,1,-1,,,,,,,
5.2,3.4,1.4,0.2,Iris-setosa,36.6,26.75,12.7,5.45,300.14,1,2,,,,,,,
4.7,3.2,1.6,0.2,Iris-setosa,41.8,30.15,14.1,5.65,316.63,1,-1,,,,,,,
4.8,3.1,1.6,0.2,Iris-setosa,39.45,28.55,13.3,5.55,300.255,1,2,,,,,,,
5.4,3.4,1.5,0.4,Iris-setosa,44.25,31.65,14.9,5.75,371.21,1,-1,,,,,,,
5.2,4.1,1.5,0.1,Iris-setosa,41.55,29.95,14.15,5.55,360.635,1,2,,,,,,,
5.5,4.2,1.4,0.2,Iris-setosa,46.75,34.05,15.65,5.65,423.175,1,-1,,,,,,,
4.9,3.1,1.5,0.1,Iris-setosa,44,31.95,14.95,5.55,337.625,1,2,,,,,,,
5,3.2,1.2,0.2,Iris-setosa,48.9,35.05,16.45,5.65,377.53,1,-1,,,,,,,
5.5,3.5,1.3,0.2,Iris-setosa,46.4,33.45,15.85,5.55,393.99,1,2,,,,,,,
4.9,3.1,1.5,0.1,Iris-setosa,51.9,36.95,17.15,5.75,395.155,1,-1,,,,,,,
4.4,3,1.3,0.2,Iris-setosa,49.45,35.4,16.4,5.7,346.24,1,2,,,,,,,
5.1,3.4,1.5,0.2,Iris-setosa,53.85,38.4,17.7,5.9,432.925,1,-1,,,,,,,
5,3.5,1.3,0.3,Iris-setosa,51.3,36.7,16.95,5.8,408.725,1,2,,,,,,,
4.5,2.3,1.3,0.3,Iris-setosa,56.3,40.2,18.25,6.1,371.365,1,-1,,,,,,,
4.4,3.2,1.3,0.2,Iris-setosa,54.05,39.05,17.6,5.95,386.85,1,2,,,,,,,
5,3.5,1.6,0.6,Iris-setosa,58.45,42.25,18.9,6.15,474.055,1,-1,,,,,,,
5.1,3.8,1.9,0.4,Iris-setosa,55.95,40.5,18.1,5.85,475.975,1,2,,,,,,,
